Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
0.034,0.579,0.1,0.996,1.191,-0.02,0.495,1.141,1.345,0.06,-0.108,-0.495,0.579,-0.065,0.012,-1.819
0.445,0.799,0.079,0.161,-0.06,0.136,0.696,1.01,1.325,0.143,-0.756,-0.223,1.128,-0.161,-0.33,-0.722
-0.295,0.605,-0.582,-0.097,-1.048,-0.715,0.544,0.21,0.659,-0.061,0.021,-0.46,1.43,0.149,0.744,0.325
0.261,0.736,-0.389,0.529,-0.084,-0.741,0.121,-1.068,1.139,0.439,0.246,-0.532,0.65,0.72,0.523,0.807
0.033,0.144,0.548,1.404,0.336,0.838,1.306,0.233,0.142,0.284,-0.04,0.318,0.363,-0.948,-0.188,0.21
0.427,-0.376,0.26,0.573,0.943,1.045,2.028,0.594,0.292,0.878,0.042,-0.481,-0.158,-0.196,0.202,0.949
0.483,-0.733,0.257,0.3,0.437,0.661,1.779,0.717,1.77,0.292,-0.119,-0.686,0.204,0.844,1.203,1.888
0.618,1.541,1.467,1.076,1.524,0.693,0.715,0.728,1.387,0.7,2.203,-0.615,1.35,0.508,0.297,-0.065
0.862,1.212,0.404,0.521,0.223,0.238,0.123,0.495,0.036,-1.465,1.978,0.206,2.605,0.502,0.111,0.515
-0.188,0.479,0.47,-0.025,0.327,-0.228,0.327,0.416,1.288,-0.142,-0.154,0.833,1.448,1.281,0.18,0.739
-0.665,0.025,0.038,-0.791,0.292,0.049,-0.712,0.002,0.015,0.597,-0.671,-0.243,0.444,1.688,-1.495,0.18
0.357,0.468,0.396,0.476,0.908,-0.265,0.566,0.333,0.332,0.069,2.272,-0.45,0.808,0.647,1.016,0.333
0.045,0.47,-0.565,0.735,0.536,-0.697,-0.079,-0.419,-0.569,-0.254,1.853,-0.107,1.446,0.177,0.554,-0.062
0.019,0.148,0.35,1.136,0.33,-0.757,-0.047,1.041,0.309,0.234,-0.376,0.308,1.154,0.551,0.47,-0.043
-0.065,0.802,0.488,0.999,-0.056,-0.589,0.003,1.248,0.994,0.233,-1.436,0.572,0.545,0.833,-0.253,0.111
-0.011,-1.644,-0.935,-0.515,0.504,-0.328,0.562,-0.229,-0.478,0.129,-1.5,-0.265,-0.03,-0.293,-0.759,0.507
0.789,-1.264,0.976,-0.065,0.74,-0.437,0.725,0.95,-0.552,0.244,0.13,-0.385,0.392,-0.247,0.678,-0.387
0.825,-0.185,0.324,0.049,-0.654,-0.363,-0.207,0.211,-0.855,-0.457,0.086,-0.507,0.368,-1.139,0.908,-1.165
0.357,0.753,0.655,1.04,-0.209,-0.262,0.391,0.671,0.17,-0.108,-0.209,-0.255,-0.23,-0.712,0.554,-1.246
0.433,1.004,0.717,1.498,0.509,0.084,0.68,0.71,0.764,0.367,-0.136,0.388,-0.01,0.513,0.56,-0.718
-1.221,0.6,-0.928,0.095,-0.043,0.668,0.688,-1.065,0.78,1.245,0.594,0.419,0.843,-0.239,0.964,0.679
-0.08,0.195,0.712,0.929,1.182,0.184,1.22,0.641,0.844,-0.22,0.24,-0.076,0.983,-0.369,0.078,-0.698
0.947,0.712,1.099,-0.034,0.433,0.393,0.714,0.597,0.872,0.04,-0.481,-0.161,0.356,-0.402,0.415,-0.767
0.949,1.17,0.357,0.1,0.183,0.421,0.93,0.199,0.422,-0.019,-0.093,0.002,0.086,-0.909,0.649,-0.335
1.353,1.517,0.478,1.041,1.054,0.728,0.845,-0.042,0.625,0.396,0.424,0.462,0.286,-0.21,0.757,0.668
-0.084,0.803,-0.128,1.82,-0.589,0.22,0.982,0.144,-0.136,-0.22,0.478,0.561,0.787,-0.302,0.124,0.288
0.932,-0.644,0.198,0.581,0.746,0.596,0.98,0.488,0.544,0.686,0.217,0.137,-0.147,0.083,1.144,1.238
0.845,-0.761,0.701,0.053,0.504,0.297,0.525,0.733,1.648,0.685,0.164,0.858,0.563,0.709,1.572,1.966
0.948,-0.207,0.202,0.693,0.224,0.096,-0.231,0.312,0.52,-0.013,0.927,0.013,-0.05,-0.579,0.691,-0.166
0.219,0.321,-0.253,0.112,0.265,0.041,-0.461,-0.367,0.022,0.343,2.167,0.922,0.386,0.553,0.947,-0.037
-0.112,0.217,0.397,0.251,0.114,-0.279,-0.112,0.722,0.343,0.363,0.031,0.325,0.327,0.542,0.728,-0.046
0.203,-1.241,0.147,-0.18,0.014,-0.086,0.527,0.676,-0.133,-0.456,0.565,0.099,0,0.186,1.404,0.452
0.244,-0.422,0.286,0.313,-0.461,0.369,0.334,-0.005,0.374,-0.223,1.605,0.755,0.184,-0.312,1.581,-0.447
0.395,0.598,0.958,0.802,0.29,0.4,0.232,0.645,0.634,0.143,0.714,0.549,-0.678,-0.27,0.41,-0.701
-0.467,-0.633,0.011,-0.365,-0.239,-0.008,0.723,-0.234,0.211,-1.02,0.892,0.251,1.172,0.176,0.753,-0.252
1.236,0.491,1.357,0.196,0.122,0.474,0.384,-0.514,0.711,-0.15,0.521,0.339,-0.191,-0.176,1.061,-0.427
1.919,1.708,1.399,0.789,1.233,1.365,0.965,-0.57,0.603,0.215,0.251,0.938,-0.107,-0.697,0.222,-0.188
