Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
1.035,-0.12,1.193,0.518,1.37,0.256,0.104,0.662,3.292,3.571,3.985,3.035,3.196,4.01,3.154,3.081
1.395,-0.288,1.695,0.656,1.495,-0.167,-0.172,1.483,4.543,5.161,3.991,4.987,4.124,5.781,4.485,3.799
1.271,-0.074,0.897,0.701,1.607,-0.035,0.36,0.929,4.793,4.815,3.894,3.865,4.23,5.657,4.067,4.216
0.165,-0.132,0.639,-0.081,0.403,1.384,0.499,-0.078,1.588,2.249,1.432,1.058,0.734,2.309,0.857,1.293
0.373,-0.429,-0.23,0.267,0.137,0.048,-0.498,0.23,1.24,2.321,2.084,1.503,1.657,2.324,1.596,1.22
0.186,-1.251,-0.069,-0.155,0.034,-0.446,0.16,0.788,2.007,3.354,1.872,1.851,2.065,2.9,2.154,2.243
0.281,0.092,-0.373,-0.37,0.473,0.646,0.312,0.757,1.489,1.57,0.918,0.457,0.14,-0.074,0.293,1
-0.083,0.042,-0.494,-0.272,-0.613,-0.7,-0.593,-0.627,1.11,1.998,1.408,0.063,0.42,-0.084,0.474,0.272
0.17,-0.81,-0.569,-1.163,-1.238,-1.299,-0.95,-0.374,0.521,1.532,0.854,0.756,0.728,0.548,0.833,0.694
0.022,0.399,-1.318,-0.719,0.026,-0.408,-1.843,-0.444,3.069,3.868,2.554,3.208,1.8,3.729,2.786,3.33
0.31,0.336,-0.277,-0.244,-0.48,-0.796,-1.332,0.04,3.055,3.71,2.112,2.041,2.324,3.377,2.779,2.957
-0.394,0.128,0.116,-0.315,-1.19,-1.12,-0.776,-0.372,1.946,2.112,1.628,1.364,1.737,2.043,1.796,1.334
0.395,1.291,-1.627,0.109,0.647,0.57,1.009,0.399,2.206,2.565,1.391,0.645,2.459,2.404,2.972,2.348
0.671,0.206,0.261,0.293,1.131,-0.074,0.02,-0.457,2.194,3.585,3.444,2.55,2.991,3.755,2.871,2.76
0.486,0.014,0.758,0.313,1.033,-0.649,-0.919,-0.204,2.97,3.904,3.048,3.368,3.212,4.034,3.388,2.637
0.751,0.579,0.636,-0.13,0.528,-0.195,0.375,0.831,2.601,2.393,1.798,2.382,3.218,2.753,2.652,1.657
0.019,0.703,-0.002,-0.211,-0.716,0.613,0.777,0.296,1.84,1.498,1.64,1.987,2.173,1.192,1.791,1.648
0.555,-0.123,-0.716,-0.952,0.439,1.335,0.525,0.278,-0.16,-1.817,-0.675,-0.638,0.982,0.635,2.383,-1.085
-0.953,0.553,0.141,0.222,-0.607,0.74,0.012,-1.465,1.213,0.919,2.141,1.121,1.663,2.471,1.498,-0.582
-0.525,0.426,-0.406,0.038,-0.942,-0.051,-0.778,-0.727,0.93,-0.361,1.753,2.069,1.473,1.649,0.971,0.253
0.402,0.355,-0.532,-0.813,-1.002,0.144,-0.115,0.574,0.753,0.485,0.986,2.102,1.702,1.316,1.205,0.586
-0.142,0.224,-0.209,-0.468,-0.231,0.769,0.487,0.26,1.474,2.296,0.982,1.522,2.097,1.027,1.338,0.757
-0.713,-1.378,-0.336,-1.615,-0.505,-1.464,-1.376,-0.662,0.294,0.962,-0.08,-1.165,-0.564,-0.305,2.379,-0.117
-0.781,0.529,-1.067,-0.92,-1.233,-1.028,-0.867,0.676,1.063,0.154,0.962,-0.183,0.218,-0.421,2.087,-0.027
0.151,0.906,-0.622,0.265,-1.6,-0.457,0.045,-0.106,1.154,-0.282,1.334,-1.316,-0.032,-1.055,2.049,0.399
0.092,0.307,-0.444,0.019,-1.65,-1.015,-0.246,-0.817,1.232,0.89,1.335,-0.351,1.031,0.726,1.937,1.468
0.064,0.317,0.052,-0.177,-0.576,-0.96,-0.285,-1.56,1.082,1.022,1.155,0.164,1.747,1.282,1.496,1.292
0.241,-0.562,0.176,0.096,0.634,0.39,0.104,-0.173,0.334,-0.627,0.052,-0.059,-0.042,-0.864,-0.004,0.126
0.658,0.109,-0.035,0.31,0.659,0.592,1.158,0.052,-0.256,-0.694,0.079,-1.003,-0.567,-0.026,-0.562,-0.369
0.714,0.143,-0.39,0.516,0.323,0.632,1.52,0.156,0.527,-0.523,-0.19,-1.091,-0.145,1.258,-0.382,0.701
-0.829,0.041,-1.324,-0.543,0.387,-0.141,-0.426,-0.704,1.465,0.87,1.637,0.961,1.025,2.095,0.465,0.714
-0.074,-0.324,-1.283,-0.151,-0.622,0.382,0.171,0.396,0.997,1.073,0.977,-0.575,0.54,1.634,1.048,0.786
-0.513,-0.98,-0.672,-1.092,-2.06,0.338,-0.535,0.369,1.096,0.792,0.421,0.327,0.326,1.372,0.119,-0.146
-0.396,0.091,0.11,0.393,0.921,0.642,1.702,-0.132,0.887,0.737,-0.105,0.069,0.614,1.009,-1.034,-0.315
0.548,-0.99,-0.895,-0.256,1.748,0.2,1.311,-0.077,0.485,1.817,2.066,1.004,2.088,2.754,0.421,1.812
0.368,-0.545,-1.549,0.281,0.719,-1.18,0.76,-0.611,1.416,2.211,0.679,-0.071,1.556,1.87,1.447,0.254
0.786,0.351,-0.014,0.526,0.372,-0.725,0.174,0.897,1.383,1.869,-0.78,1.073,1.456,2.497,0.528,-0.263
0.632,0.549,0.273,0.351,-0.145,0.258,-0.462,1.427,1.346,2.399,-0.636,0.667,0.085,1.557,0.198,0.694
-0.425,-0.571,0.063,-0.041,0.843,0.865,0.887,0.153,0.042,-0.405,-0.514,-0.593,0.391,0.051,1.075,-1.603
0.845,-1.365,1.732,0.307,0.957,0.137,0.421,0.471,-0.813,0.431,-0.316,0.11,1.507,0.996,-0.05,-1.484
1.167,-0.557,0.245,-0.349,-0.753,-1.204,-0.77,0.206,-1.088,0.077,-0.591,-0.364,0.47,-0.369,0.06,-1.305
0.35,0.525,-0.1,0.087,-0.673,-0.821,0.662,0.64,-0.412,0,-0.99,-0.224,0.701,0.379,-0.206,-1.17
-0.366,0.476,-0.456,0.831,-0.371,0.428,1.094,0.345,-0.542,0.65,-0.536,-0.757,-0.133,0.173,-0.088,-0.385
-1.561,0.466,-0.782,-0.772,0.102,-0.375,-0.743,-0.501,-0.197,0.779,-0.221,-1.098,0.305,-0.927,1.061,-1.06
