Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
-0.857,-0.197,0.003,0.142,-0.399,-0.728,-0.077,-0.843,0.09,0.958,-0.612,0.31,-0.128,-1.164,-0.59,0.108
-0.123,-0.292,-0.271,-0.432,0.614,-0.614,-0.207,-0.522,0.019,-0.033,-0.396,-0.493,-0.81,-1.136,-0.997,0.73
0.641,-0.36,-0.532,0.086,0.795,0.247,-0.344,-0.518,-0.417,-0.263,0.268,-0.485,-0.144,-0.963,-0.335,0.564
-1.175,-1.021,0.132,-1.013,-0.452,-0.923,-0.738,-1.796,0.044,0.861,-0.275,-0.379,-0.704,0.879,0.374,0.361
-0.066,-0.012,-0.052,-0.012,0.625,-0.336,0.267,-0.842,0.431,1.74,0.043,0.279,0.031,2.197,1.093,0.73
0.76,0.52,-0.508,0.155,0.621,-0.238,0.933,-0.662,0.21,1.178,0.134,0.822,0.004,1.527,0.485,0.725
-0.627,-0.959,-0.689,-1.176,-1.023,-1.064,-0.828,-1.334,-0.556,-1.571,-0.524,-0.876,-0.514,0.062,-1.001,0.179
0.238,0.166,-0.581,-0.375,-0.422,-0.782,-0.068,-0.642,-0.108,0.047,0.217,-0.158,-0.561,0.22,0.031,0.401
0.182,0.287,-0.686,-0.077,0.003,-0.615,0.241,-0.464,0.613,1.099,-0.004,-0.099,-0.415,0.262,0.199,0.545
-3.292,-1.045,-2.352,-2.013,-0.437,-2.019,-1.199,-1.835,-1.987,-1.205,-2.128,-2.173,-1.668,-0.262,0.189,-1.089
-2.028,-0.871,-1.857,-2.355,0.182,-1.553,-1.263,-1.058,-0.899,-1.812,-1.191,-2.132,-0.993,-1.754,-1.076,-0.308
-0.075,0.006,0.002,-0.517,0.88,0.382,0.109,0.279,-0.137,-0.229,0.86,-0.485,-0.518,-1.313,-0.391,0.884
-2.547,-1.02,-1.303,-1.823,-0.375,-0.722,-0.875,-1.63,-0.9,0.86,-1.403,-0.987,-0.373,-0.14,-0.007,0.046
-2.091,-0.225,-0.801,-1.235,-0.213,-0.906,-0.343,-1.447,-1.427,-0.077,-1.465,-0.731,0.085,-0.558,-0.576,-0.96
0.259,0.813,0.782,0.516,2.107,0.779,0.961,0.246,0.511,0.438,0.478,0.224,0.104,0.932,0.472,-0.081
1.805,1.815,1.917,1.759,3.534,2.151,1.831,1.345,1.543,0.949,2.153,1.265,0.836,2.028,1.706,0.957
1.177,1.926,1.391,1.361,1.846,1.557,1.197,0.733,0.429,0.212,1.628,1.37,0.21,1.967,1.348,1.05
-2.058,-0.166,-0.835,-1.876,-0.438,-1.104,-1.107,-1.065,-0.388,0.431,0.193,0.004,0.844,-1.381,-0.054,0.769
-0.545,0.113,0.957,-0.233,1.656,0.081,-0.042,-0.629,0.177,1.093,0.427,0.202,0.351,0.504,0.987,1.006
0.669,-0.023,1.157,0.349,1.501,0.739,0.332,0.181,2.062,1.294,1.085,1.586,1.127,2.757,2.106,1.674
0.726,-0.17,0.113,-0.439,0.845,0.231,-0.044,-0.415,1.823,0.623,0.664,1.273,0.418,2.492,1.731,0.941
0.403,0.001,0.176,-0.237,1.443,0.08,0.039,-1.085,0.554,-0.183,0.27,-0.459,-0.503,0.228,0.832,-0.606
-0.399,0.144,-0.465,-1.033,0.537,0.192,-0.304,-0.566,-1.811,-1.743,-0.551,-1.911,0.023,0.004,-0.01,-0.979
-0.81,-0.993,-1.196,-1.47,-1.044,-1.045,-1.18,-1.385,-0.396,-0.662,0.025,-0.833,-0.907,0.435,-0.064,0.252
-0.077,-0.726,-0.864,-1.008,-0.984,-1.148,-0.906,-0.845,1.079,0.379,0.937,1.029,0.607,1.629,1.058,0.611
0.246,0.153,-0.083,-0.312,0.159,-0.659,-0.362,-0.071,1.281,0.663,0.712,1.155,0.747,1.503,0.014,0.528
-0.196,0.163,0.219,-0.073,0.052,-0.437,-0.482,-0.205,0.714,0.49,0.024,0.634,-0.22,0.836,-1.15,1.035
-0.962,-1.303,-1.399,-1.69,-1.535,-1.022,-1.469,-1.352,-1.055,-0.981,-1.093,-1.551,-2.08,-1.583,-1.573,0.058
-0.807,-1.156,-0.494,-1.251,-0.691,-0.428,-0.686,-0.503,0.008,-0.481,-0.4,-0.473,-1.115,0.064,-1.071,0.292
0.649,0.195,0.368,0.56,1.042,1.136,0.79,0.927,0.189,0.007,-0.347,0.092,-0.031,0.508,-0.414,-0.009
-3.575,-1.618,-3.186,-2.435,-1.699,-1.956,-1.227,-2.459,-1.659,-1.513,-0.967,-1.388,-0.995,-2.719,-1.011,-1.925
-0.864,0.263,-1.006,-0.389,0.606,-0.17,0.371,-0.68,-1.184,-1.463,-0.55,-0.821,-0.023,-1.531,-0.864,-1.452
1.095,1.271,1.205,0.789,1.778,0.918,1.143,0.844,-0.043,-0.394,0.589,0.325,0.33,-0.195,-0.03,-0.219
-1.549,-1.001,-1.44,-1.945,0.365,-0.847,-1.004,-1.358,-0.833,-1.198,-1.284,-1.721,-2.09,-3.052,-1.772,-1.499
-1.056,-0.013,-0.102,-0.872,1.2,0.119,-0.126,-0.405,-0.86,-0.86,-0.731,-0.985,-0.976,-1.148,-1.324,-1.369
-0.119,0.442,0.671,0.085,1.727,0.799,0.588,0.254,0.267,0.074,0.006,-0.105,-0.642,0.933,-0.113,-0.567
0.666,0.718,0.816,0.592,1.753,0.723,0.594,0.06,-0.033,-0.355,-0.148,-0.561,-0.61,0.915,0.057,-0.465
0.587,1.086,0.479,0.527,1.244,0.671,0.148,-0.01,-0.329,-0.431,0.396,-0.306,-0.837,0.289,-0.446,-0.288
-0.733,0.91,-0.019,-1.442,0.809,-0.159,-0.414,0.115,-0.404,-0.513,-0.358,-1.238,-0.461,-1.144,-0.889,-0.133
0.589,1.159,1.437,0.987,2.839,0.887,0.862,1.124,0.492,1.248,0.813,0.393,0.209,1.087,0.753,0.791
0.344,-0.464,0.723,0.119,0.938,0.483,-0.302,0.409,0.21,0.518,-0.082,-0.133,-0.341,0.727,0.786,-0.19
-0.379,-1.329,-0.208,-1.519,-0.187,-0.149,-1.308,-0.76,-0.163,-0.138,-0.532,-0.075,-0.795,0.058,0.234,-0.379
-0.115,-0.172,0.496,-0.433,1.627,0.481,-0.387,-0.427,0.164,-0.024,0.337,0.239,-0.272,0.022,0.435,-0.464
1.096,2,1.37,0.14,1.798,1.644,0.852,0.422,-1.319,-1.236,-0.867,-0.622,-0.856,0.535,0.524,-1.166
-0.194,-0.183,-0.529,-0.761,-1.229,-0.794,-1.069,-0.813,-0.763,0.127,-0.605,-0.502,-0.534,0.512,0.46,-0.519
-0.167,-1.467,-0.931,-1.095,-1.585,-1.233,-1.237,-0.963,0.112,0.355,-0.44,0.574,0.632,0.856,0.722,-0.502
0.654,-0.17,0.375,-0.582,-0.163,-0.597,-0.575,0.123,0.446,0.246,-0.1,0.971,0.652,0.861,-0.013,-0.284
0.108,0.875,0.329,-0.607,-0.944,-0.82,-0.751,0.446,0.265,-0.005,-0.173,0.622,0.076,0.671,-0.781,0.626
0.104,-0.192,0.934,0.14,1.249,0.6,0.723,0.5,-1.246,-0.608,-0.818,-0.769,-1.125,-1.292,-1.068,-0.002
-0.035,-0.691,0.454,-0.435,0.485,0.84,0.524,0.702,-0.812,-0.232,-0.794,-0.477,-0.769,-0.127,-1.059,0.099
0.761,1.124,0.741,0.632,1.399,1.086,1.154,1.759,-0.41,-0.504,-0.681,0.177,-0.043,0.111,-0.774,-0.325
-1.078,-0.065,-1.203,-0.995,-0.233,0.058,-0.067,-0.113,-0.038,-0.498,1.305,0.066,0.627,-0.429,0.179,-0.839
0.471,0.477,-0.098,0.63,0.88,0.935,0.231,0.75,-0.038,0.398,1.454,0.391,1.19,0.035,0.59,-0.354
0.911,0.868,1.208,0.646,1.17,0.772,0.266,0.939,0.014,0.769,1.218,0.377,0.7,-0.011,0.473,-0.365
0.364,-0.149,-0.273,-0.573,1.216,0.149,-0.038,-0.33,0.299,0.243,0.124,0.194,-0.135,-0.843,-1.185,-0.658
0.445,0.23,0.844,0.232,1.576,0.87,0.054,0.281,-0.141,-0.087,0.088,-0.016,0.403,-0.295,-0.447,-0.951
-0.433,-0.695,0.047,-0.366,0.406,-0.3,-0.885,-0.529,-0.318,0.448,0.102,0.089,-0.478,0.419,-0.036,-0.403
-0.637,-1.122,-0.792,-1.003,-0.399,-1.302,-1.421,-1.454,-0.586,-0.273,-0.144,-0.299,-1.775,0.292,-0.284,-0.926
-0.041,-0.455,-0.69,-0.694,0.256,-0.564,-1.058,-0.952,0.139,-0.147,0.395,-0.265,-1.529,-0.028,-0.263,-0.628
0.878,0.941,0.901,-0.453,0.838,0.787,0.439,0.688,-0.381,0.181,-0.393,-0.097,-0.095,-0.533,-0.951,0.071
0.976,1.169,1.197,1.361,1.343,0.698,0.987,1.621,0.442,0.691,0.024,0.212,0.032,0.691,-0.539,0.06
-0.937,-0.527,-0.72,-0.263,-0.591,-0.87,-0.893,-0.27,-0.681,-0.225,-1.023,-1.091,-1.767,-0.943,-1.01,-1.204
-1.166,-0.939,-0.813,-1.482,-1.101,-0.648,-0.89,-0.794,-1.105,-0.591,-0.813,-0.45,-1.845,-1.228,-0.827,-0.982
0.256,0.267,0.452,-0.314,0.313,1.128,0.985,0.536,-0.265,-0.082,0.337,0.714,-0.667,-0.153,0.085,-0.254
