subID,ROI,Trials,Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
sub-660,HPC,Face1,1,0.318670410869557,0.358531988025192,0.291492702392019,0.171795020634645,0.490704799814038,0.483396344168658,0.208390977948106,0.124743352647517,-0.0931421147537065,-0.19028559747457,-0.216898143330993,-0.18825352727243,0.179029773206718,-0.0458662282521835,-0.443771550578243
sub-660,HPC,Face2,0.318670410869557,1,0.0311587315339289,0.209124114815185,0.00564731709313867,0.420744783219358,0.436754927232062,0.163119972453625,0.351657281313676,-0.0983173812888027,-0.0546979868842241,-0.102742539638353,-0.199471727884209,0.425015748322732,0.0653396303122921,-0.256438689866405
sub-660,HPC,Face3,0.358531988025192,0.0311587315339289,1,0.215782380550618,0.27825071821916,0.34011912203,0.218974002331135,0.217096031512998,0.0937292520076084,0.0717244453415209,-0.156085085362197,-0.0255963059587501,-0.0102574118443082,0.107192005309125,0.158155868900776,-0.219845725636393
sub-660,HPC,Face4,0.291492702392019,0.209124114815185,0.215782380550618,1,0.0687452170450057,0.231550061858377,0.0783390373234662,0.079636662366097,0.37703474895463,-0.133495268914531,0.039324877061905,0.153776012897617,-0.146913127140808,0.112990301240648,-0.268770472523031,-0.182463490422377
sub-660,HPC,Face5,0.171795020634645,0.00564731709313867,0.27825071821916,0.0687452170450057,1,0.425205301524881,0.185218618745733,0.421639732739572,0.174022417873787,0.0919021928905898,0.00619659209429264,-0.0457906742667487,-0.0838240310181383,0.129391745025938,0.0870553039251861,-0.00623267333004033
sub-660,HPC,Face6,0.490704799814038,0.420744783219358,0.34011912203,0.231550061858377,0.425205301524881,1,0.267623225677348,0.509978373897208,0.180868642627827,0.103391253883646,-0.0348526928059379,-0.0818902107954409,-0.155962445610128,0.253475205395448,0.153204827332929,-0.357702116167825
sub-660,HPC,Face7,0.483396344168658,0.436754927232062,0.218974002331135,0.0783390373234662,0.185218618745733,0.267623225677348,1,0.187103382416654,0.244925832443477,0.159258125856949,-0.130153393487605,-0.173993704384734,-0.120453715799927,0.258850606299397,0.0241713178955932,-0.14435486764664
sub-660,HPC,Face8,0.208390977948106,0.163119972453625,0.217096031512998,0.079636662366097,0.421639732739572,0.509978373897208,0.187103382416654,1,0.278318698150411,0.294140892262349,0.148834542471497,0.0185735542509037,-0.154390077388288,0.244799463939735,0.143534884366666,-0.141579982296607
sub-660,HPC,Scene1,0.124743352647517,0.351657281313676,0.0937292520076084,0.37703474895463,0.174022417873787,0.180868642627827,0.244925832443477,0.278318698150411,1,-0.0824298683184122,-0.040417119168518,0.165309185526739,-0.176432868425328,0.408932514660866,-0.207585374677241,-0.165509574022078
sub-660,HPC,Scene2,-0.0931421147537065,-0.0983173812888027,0.0717244453415209,-0.133495268914531,0.0919021928905898,0.103391253883646,0.159258125856949,0.294140892262349,-0.0824298683184122,1,0.138537784670169,0.0881172258462566,0.199337635696301,0.194058133616823,0.298858476788418,0.254666349337224
