Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
1,0.211665448116905,0.42156621714602,0.309171980374013,0.292247347964529,0.298103714018199,0.392789323260102,0.322958598104199,0.240715217720382,0.158445379455812,0.109910532384146,0.0888324472994687,0.116972557521612,0.215857806814137,0.185355016316098,0.00214389588618844
0.211665448116905,1,0.0587442120137798,0.295763383549618,-0.00498761882557451,0.289401139856509,0.263329428074316,0.0816038289096116,0.219795451721664,-0.0544775678225371,0.0382011826503924,-0.0200798585325348,-0.00879924068975194,0.0876582963020643,0.0215821770777825,-0.127083227510706
0.42156621714602,0.0587442120137798,1,0.320670504044105,0.362007881933872,0.294075511447136,0.202659704168885,0.28144068400772,0.0595932803714004,0.000801577604838976,-0.0182921303809297,0.126660320391859,0.0206327431566098,0.0293872351307565,0.0245265801548459,-0.114758025411506
0.309171980374013,0.295763383549618,0.320670504044105,1,0.219709654820756,0.235214797560394,0.235978699444192,0.162793200805886,0.165392937315211,-0.0785549122331712,0.0154224109815521,0.067308159222803,-0.0583512023651324,0.00832635748532613,-0.177641966687833,-0.105806951422082
0.292247347964529,-0.00498761882557451,0.362007881933872,0.219709654820756,1,0.40030113555706,0.307964914661373,0.329270113312508,0.164034077146926,0.144204722987054,0.104663491926023,0.118877081454445,0.102474953903609,0.192435361572071,0.0426571990158914,0.110678810911818
0.298103714018199,0.289401139856509,0.294075511447136,0.235214797560394,0.40030113555706,1,0.385915401903776,0.30228019426015,-0.0132514627097345,-0.122796853359301,-0.0863436760210579,-0.055361650248108,-0.19437390652168,-0.0133717652048847,-0.0996925321704508,-0.192713904316097
0.392789323260102,0.263329428074316,0.202659704168885,0.235978699444192,0.307964914661373,0.385915401903776,1,0.234063341758354,0.0392657107007457,-0.0731681853338692,-0.170403314054982,-0.227106380101671,-0.0943184516549247,-0.0212482960805152,-0.104823553406981,-0.128797109146605
0.322958598104199,0.0816038289096116,0.28144068400772,0.162793200805886,0.329270113312508,0.30228019426015,0.234063341758354,1,0.254801715055845,0.197258000141307,0.00449164737744537,0.0849858816718451,0.0580861895675406,0.179370846770088,0.130646525066305,-0.0150024889199981
0.240715217720382,0.219795451721664,0.0595932803714004,0.165392937315211,0.164034077146926,-0.0132514627097345,0.0392657107007457,0.254801715055845,1,0.663570686238763,0.556556580069789,0.583311535702499,0.533334242352014,0.724027050475066,0.536257838901388,0.542547221508475
0.158445379455812,-0.0544775678225371,0.000801577604838976,-0.0785549122331712,0.144204722987054,-0.122796853359301,-0.0731681853338692,0.197258000141307,0.663570686238763,1,0.602338045960511,0.605347430442722,0.63635419181617,0.726759706965307,0.646874563556913,0.666888333441774
0.109910532384146,0.0382011826503924,-0.0182921303809297,0.0154224109815521,0.104663491926023,-0.0863436760210579,-0.170403314054982,0.00449164737744537,0.556556580069789,0.602338045960511,1,0.589810914143075,0.657704434411852,0.5906984951298,0.666910966620957,0.662667789623596
0.0888324472994687,-0.0200798585325348,0.126660320391859,0.067308159222803,0.118877081454445,-0.055361650248108,-0.227106380101671,0.0849858816718451,0.583311535702499,0.605347430442722,0.589810914143075,1,0.617031828604502,0.653014873711334,0.461448413545767,0.593533499729736
0.116972557521612,-0.00879924068975194,0.0206327431566098,-0.0583512023651324,0.102474953903609,-0.19437390652168,-0.0943184516549247,0.0580861895675406,0.533334242352014,0.63635419181617,0.657704434411852,0.617031828604502,1,0.688830639647803,0.639106933322402,0.640681907542418
0.215857806814137,0.0876582963020643,0.0293872351307565,0.00832635748532613,0.192435361572071,-0.0133717652048847,-0.0212482960805152,0.179370846770088,0.724027050475066,0.726759706965307,0.5906984951298,0.653014873711334,0.688830639647803,1,0.517092468253491,0.584897295732476
0.185355016316098,0.0215821770777825,0.0245265801548459,-0.177641966687833,0.0426571990158914,-0.0996925321704508,-0.104823553406981,0.130646525066305,0.536257838901388,0.646874563556913,0.666910966620957,0.461448413545767,0.639106933322402,0.517092468253491,1,0.566907900220023
0.00214389588618844,-0.127083227510706,-0.114758025411506,-0.105806951422082,0.110678810911818,-0.192713904316097,-0.128797109146605,-0.0150024889199981,0.542547221508475,0.666888333441774,0.662667789623596,0.593533499729736,0.640681907542418,0.584897295732476,0.566907900220023,1
