Face1,Face2,Face3,Face4,Face5,Face6,Face7,Face8,Scene1,Scene2,Scene3,Scene4,Scene5,Scene6,Scene7,Scene8
1.301,0.557,-0.157,0.276,1.743,0.878,1.48,0.698,-1.281,-0.923,-0.65,-0.165,-0.595,-0.882,-0.22,0.073
0.226,0.298,0.196,0.507,0.61,0.691,0.043,0.86,0.199,-0.941,0.338,-0.033,0.449,-0.359,0.342,-0.975
0.503,-0.476,-0.261,1.007,0.785,0.638,-0.027,1.343,0.886,-0.938,-1.165,0.181,-0.166,-0.084,-0.564,-1.175
-0.122,-1.84,-0.565,-0.83,-0.75,0.4,-0.136,-0.019,-0.479,-1.297,-0.177,-0.066,-0.479,-0.499,-0.729,-0.951
-0.978,-1.815,-0.32,-2.309,-0.255,-0.133,-0.372,-0.158,-1.872,0.032,0.917,-0.314,-0.097,-1.33,-1.022,-0.359
1.271,0.835,1.284,0.377,1.597,1.089,0.957,1.569,-0.866,0.575,1.353,0.092,0.666,0.917,1.16,-0.427
-0.122,-0.701,-0.23,-0.323,0.144,-0.746,-1.39,0.324,0.872,0.679,-1.806,-0.658,-0.161,-0.131,-0.363,-0.598
-0.327,-1.084,-0.623,0.835,-0.891,-0.144,-0.441,-0.198,-0.435,-0.068,-0.913,0.334,-0.403,-1.023,-0.536,0.028
-0.178,0.826,-0.366,0.949,0.934,1.263,0.473,0.311,-0.314,0.021,-0.479,0.159,-1.272,-0.899,0.074,0.421
-0.066,0.095,-1.439,0.585,-0.035,0.36,-0.3,-0.562,-0.4,-0.235,-1.174,-0.55,-0.163,-1.041,-0.447,0.044
-0.202,-0.393,-1.12,-0.172,-0.499,-0.2,-0.831,-0.526,-0.512,-0.079,-0.758,-0.961,-0.633,-0.945,-1.067,-0.602
2.275,1.873,2.525,3.153,2.519,3.357,2.076,2.783,-0.417,-0.313,-1.252,0.423,-1.382,0.102,-0.559,-0.376
1.655,1.465,1.947,2.003,2.696,2.357,2.202,2.002,-0.204,0.183,-0.721,0.72,-1.063,-0.204,-0.553,-0.399
1.172,0.425,0.448,0.628,1.056,1.428,0.922,0.079,-0.743,-0.803,-1.439,-1.006,-0.817,-1.206,-1.205,-1.159
0.123,-0.405,-0.923,-0.805,-0.41,-0.005,-0.584,-0.73,-1.08,-0.18,-0.145,-0.766,-0.995,-1.249,-1.417,-1.032
-0.478,-0.22,-0.421,-0.882,-0.452,-0.197,-0.314,-1.081,-1.54,-0.046,1.346,-0.614,-1.26,-0.57,-1.694,-1.407
2.547,1.848,2.221,2.586,2.05,2.374,2.199,1.807,-0.808,-0.836,-1.186,-0.066,-0.436,-0.341,-1.384,-1.387
2.871,1.869,3.052,2.393,2.945,1.582,3.02,2.839,0.168,0.083,-0.402,0.868,0.029,0.034,-0.659,-0.825
1.712,0.422,1.671,1.252,1.415,1.729,1.391,0.794,-0.227,-1.071,-1.178,-0.224,-0.752,-0.754,-2.094,-1.572
